loc_id,continent,country,geo_l3,geo_l4,geo_l5,geo_l6,geo_l7
56,Asia,China,Shaanxi,HuaShang,NA,NA,NA
57,Asia,Nepal,Kathmandu,NA,NA,NA,NA
58,Asia,Malaysia,NA,NA,NA,NA,NA
59,Europe,France,Auvergne-Rhone-Alpes,Contamines,NA,NA,NA
60,Asia,Japan,Osaka,NA,NA,NA,NA
61,Asia,Japan,Nara,NA,NA,NA,NA
62,Asia,China,Fujian,NA,NA,NA,NA
63,Europe,Sweden,NA,NA,NA,NA,NA
64,Asia,Taiwan,Taoyuan,NA,NA,NA,NA
65,Asia,Cambodia,Sihanoukville,NA,NA,NA,NA
66,Asia,China,Jiangsu,NA,NA,NA,NA
67,North America,USA,Texas,NA,NA,NA,NA
68,Asia,China,Anhui,Hefei,NA,NA,NA
69,Asia,China,Shandong,Linyi County,NA,NA,NA
70,Asia,China,Shandong,Linyi,NA,NA,NA
71,Asia,China,Hubei,Jingzhou,NA,NA,NA
72,Asia,Japan,NA,NA,NA,NA,NA
73,North America,USA,California,Solano County,NA,NA,NA
74,Asia,China,Guangzhou,NA,NA,NA,NA
75,Asia,South Korea,Seoul,NA,NA,NA,NA
76,Asia,South Korea,Chungcheongnam-do,NA,NA,NA,NA
77,Europe,Germany,Baden-Wurttemberg,NA,NA,NA,NA
78,South America,Brazil,Sao Paulo,Sao Paulo,NA,NA,NA
79,North America,Canada,British Columbia,NA,NA,NA,NA
80,Europe,Italy,Lombardy,NA,NA,NA,NA
81,Europe,Finland,Helsinki,NA,NA,NA,NA
82,North America,Mexico,Mexico City,NA,NA,NA,NA
83,North America,Canada,Ontario,NA,NA,NA,NA
84,Asia,China,Hubei,Tianmen,NA,NA,NA
85,Europe,Switzerland,Zurich,NA,NA,NA,NA
86,Asia,Iran,NA,NA,NA,NA,NA
87,Europe,United Kingdom,Scotland,NA,NA,NA,NA
88,Asia,India,NA,NA,NA,NA,NA
89,Asia,Indonesia,West Java,Indramayu,NA,NA,NA
90,Asia,China,Anhui,Suzhou,NA,NA,NA
91,North America,USA,Washington,King County,NA,NA,NA
92,Oceania,New Zealand,Auckland,NA,NA,NA,NA
93,Europe,Germany,North Rhine-Westphalia,Heinsberg District,NA,NA,NA
94,Europe,Italy,Lombardy,Milan,NA,NA,NA
95,Asia,India,Maharashtra,NA,NA,NA,NA
96,Asia,Iran,Tehran,NA,NA,NA,NA
97,Africa,Nigeria,Lagos,NA,NA,NA,NA
98,Europe,Netherlands,Drenthe,Coevorden,NA,NA,NA
99,Europe,Netherlands,Noord-Brabant,Tilburg,NA,NA,NA
100,Europe,Netherlands,Noord-Brabant,Berlicum,NA,NA,NA
101,Europe,United Kingdom,Wales,NA,NA,NA,NA
102,North America,USA,California,Sonoma County,NA,NA,NA
103,Europe,Netherlands,Zuid-Holland,Delft,NA,NA,NA
104,Europe,Netherlands,Noord-Holland,Diemen,NA,NA,NA
105,Europe,Netherlands,Noord-Brabant,Helmond,NA,NA,NA
106,Europe,Netherlands,Utrecht,Houten,NA,NA,NA
107,Europe,Netherlands,Noord-Brabant,Loon op Zand,NA,NA,NA
108,Europe,Netherlands,Noord-Brabant,Oss,NA,NA,NA
109,Europe,Luxembourg,NA,NA,NA,NA,NA
110,Europe,Italy,Sardinia,Cagliari,NA,NA,NA
111,Europe,Netherlands,Noord-Brabant,Andel,NA,NA,NA
112,Europe,Netherlands,Drenthe,Dalen,NA,NA,NA
113,Europe,Netherlands,Noord-Holland,Haarlem,NA,NA,NA
114,Europe,Netherlands,Noord-Brabant,Nieuwendijk,NA,NA,NA
115,Europe,Netherlands,Zuid-Holland,Rotterdam,NA,NA,NA
116,Europe,Netherlands,Utrecht,NA,NA,NA,NA
117,Europe,Netherlands,Noord-Holland,Blaricum,NA,NA,NA
118,Europe,Netherlands,Noord-Brabant,Eindhoven,NA,NA,NA
119,Europe,Netherlands,Zuid-Holland,Hardinxveld-Giessendam,NA,NA,NA
120,Europe,Netherlands,Noord-Holland,Naarden,NA,NA,NA
121,Europe,Netherlands,Noord-Brabant,Oisterwijk,NA,NA,NA
122,Europe,Netherlands,Flevoland,Zeewolde,NA,NA,NA
123,Europe,Netherlands,Zuid-Holland,Nootdorp,NA,NA,NA
124,North America,USA,NA,NA,NA,NA,NA
125,Asia,China,Weifang,NA,NA,NA,NA
126,Asia,Iran,Qom,NA,NA,NA,NA
127,Europe,Portugal,NA,NA,NA,NA,NA
128,Europe,Switzerland,Ticino,NA,NA,NA,NA
129,Europe,Switzerland,Geneva,NA,NA,NA,NA
130,Europe,Switzerland,Aargau,NA,NA,NA,NA
131,Europe,Switzerland,Basel-Landschaft,NA,NA,NA,NA
132,Europe,Switzerland,Vaud,NA,NA,NA,NA
133,South America,Brazil,Sao Paulo,NA,NA,NA,NA
134,North America,USA,California,San Francisco County,NA,NA,NA
135,South America,Brazil,Rio de Janeiro,NA,NA,NA,NA
136,North America,USA,New York,NA,NA,NA,NA
137,Europe,Czech Republic,Usti nad Labem,NA,NA,NA,NA
138,Asia,Indonesia,Jakarta,NA,NA,NA,NA
139,Asia,Indonesia,West Java,Depok,NA,NA,NA
140,Europe,Netherlands,Gelderland,NA,NA,NA,NA
141,Europe,Netherlands,Noord-Brabant,NA,NA,NA,NA
142,Europe,Netherlands,Zuid-Holland,NA,NA,NA,NA
143,Europe,Netherlands,Limburg,NA,NA,NA,NA
144,Europe,Netherlands,Noord-Holland,NA,NA,NA,NA
145,Europe,Netherlands,Overijssel,NA,NA,NA,NA
146,Europe,United Kingdom,England,Yorkshire,Sheffield,NA,NA
147,Europe,Spain,Comunitat Valenciana,Valencia,NA,NA,NA
148,Europe,Ireland,Cork,NA,NA,NA,NA
149,Asia,Iran,Tehran,Nazi Abad,NA,NA,NA
150,South America,Chile,Maule,Talca,NA,NA,NA
151,Europe,Ireland,Dublin,NA,NA,NA,NA
152,Europe,Germany,North Rhine-Westphalia,Duesseldorf,NA,NA,NA
153,South America,Chile,Region Metropolitana de Santiago,Santiago,NA,NA,NA
154,Europe,Ireland,Limerick,NA,NA,NA,NA
155,North America,USA,Minnesota,NA,NA,NA,NA
156,Europe,Italy,NA,NA,NA,NA,NA
157,Asia,India,Delhi,NA,NA,NA,NA
158,Asia,India,Uttar Pradesh,NA,NA,NA,NA
159,Asia,India,Telangana,NA,NA,NA,NA
160,Asia,Vietnam,Ho Chi Minh City,NA,NA,NA,NA
161,Europe,France,Grand Est,Strasbourg,NA,NA,NA
162,North America,USA,Washington,King County,Kirkland,NA,NA
163,North America,USA,Washington,Pierce County,Tacoma,NA,NA
164,Europe,France,Normandie,Rouen,NA,NA,NA
165,Europe,France,Pays-de-la-Loire,Nantes,NA,NA,NA
166,Europe,France,Hauts-de-France,Cr\u00e9py en Valois,NA,NA,NA
167,Europe,Finland,NA,NA,NA,NA,NA
168,Europe,France,Hauts-de-France,Compi\u00e8gne,NA,NA,NA
169,Europe,France,Grand Est,Reims,NA,NA,NA
170,Europe,France,\u00cele-de-France,Pontoise,NA,NA,NA
171,North America,USA,New York,Nassau County,NA,NA,NA
172,North America,USA,Washington,King County,Seattle,NA,NA
173,Africa,Democratic Republic of the Congo,Kinshasa,NA,NA,NA,NA
174,Asia,China,Shandong,NA,NA,NA,NA
175,Europe,United Kingdom,Northern Ireland,NA,NA,NA,NA
176,South America,Brazil,Espirito Santo,Vila Velha,NA,NA,NA
177,Europe,Belgium,Kraainem,NA,NA,NA,NA
178,Europe,Belgium,Huldenberg,NA,NA,NA,NA
179,Europe,Belgium,Sint-Niklaas,NA,NA,NA,NA
180,Europe,Belgium,Brussels,NA,NA,NA,NA
181,South America,Brazil,Bahia,Feira de Santana,NA,NA,NA
182,North America,Panama,Panama City,NA,NA,NA,NA
183,North America,USA,California,San Diego County,NA,NA,NA
184,Europe,Netherlands,NA,NA,NA,NA,NA
185,Europe,Switzerland,Bern,NA,NA,NA,NA
186,Europe,Netherlands,Flevoland,NA,NA,NA,NA
187,Europe,United Kingdom,Wales,Cardiff,NA,NA,NA
188,North America,USA,Utah,NA,NA,NA,NA
189,Asia,Georgia,Tbilisi,NA,NA,NA,NA
190,Europe,France,\u00cele-de-France,NA,NA,NA,NA
191,Europe,Denmark,NA,NA,NA,NA,NA
192,Europe,Denmark,Hovedstaden,Copenhagen,NA,NA,NA
193,Europe,France,Hauts-de-France,Cr\u00e9py-en -Valois,NA,NA,NA
194,Europe,France,Bourgogne-Franche-Comte,Montreux-Chateau,NA,NA,NA
195,Europe,France,Bourgogne-Franche-Comte,Thise,NA,NA,NA
196,Asia,China,Hangzhou,NA,NA,NA,NA
197,Europe,Switzerland,Grisons,NA,NA,NA,NA
198,Europe,Switzerland,Basel-Stadt,NA,NA,NA,NA
199,Europe,Switzerland,Schwyz,NA,NA,NA,NA
200,Asia,Saudi Arabia,NA,NA,NA,NA,NA
201,South America,Peru,Lima,NA,NA,NA,NA
202,Europe,Russia,Saint Petersburg,NA,NA,NA,NA
203,Asia,China,Yunnan,NA,NA,NA,NA
204,Oceania,Australia,Victoria,Melbourne,NA,NA,NA
205,South America,Brazil,Federal District,Brasilia,NA,NA,NA
206,North America,USA,Connecticut,NA,NA,NA,NA
207,Asia,Vietnam,Thanhhoa,NA,NA,NA,NA
208,Asia,Vietnam,Vinhphuc,NA,NA,NA,NA
209,Asia,Vietnam,Hanoi,NA,NA,NA,NA
210,Asia,Vietnam,Quangninh,NA,NA,NA,NA
211,Asia,Saudi Arabia,Riyadh,NA,NA,NA,NA
212,Europe,Hungary,Budapest,NA,NA,NA,NA
213,Europe,France,Bretagne,Rennes,NA,NA,NA
214,Asia,Georgia,NA,NA,NA,NA,NA
215,Asia,Kuwait,Hawali,NA,NA,NA,NA
216,Europe,Belgium,Holsbeek,NA,NA,NA,NA
217,Europe,Belgium,Couthuin,NA,NA,NA,NA
218,Europe,Belgium,Kessel-Lo,NA,NA,NA,NA
219,Europe,Poland,Lubuskie,NA,NA,NA,NA
220,Europe,France,Hauts-de-France,Chateau-Thierry,NA,NA,NA
221,Europe,France,\u00cele-de-France,Levallois-Perret,NA,NA,NA
222,Europe,France,\u00cele-de-France,Garches,NA,NA,NA
223,Europe,France,\u00cele-de-France,Longjumeau,NA,NA,NA
224,Asia,Japan,Saitama,NA,NA,NA,NA
225,North America,USA,Wisconsin,Dane County,NA,NA,NA
226,Asia,Malaysia,Selangor,NA,NA,NA,NA
227,Europe,Lithuania,Vilnius,NA,NA,NA,NA
228,Europe,Czech Republic,Prague,NA,NA,NA,NA
229,Asia,Kuwait,Dasman,NA,NA,NA,NA
230,Europe,United Kingdom,England,South Yorkshire,NA,NA,NA
231,Europe,United Kingdom,England,Northamtonshire,NA,NA,NA
232,Europe,United Kingdom,England,London,NA,NA,NA
233,Europe,France,Auvergne-Rhone-Alpes,Valence,NA,NA,NA
234,Europe,France,Auvergne-Rhone-Alpes,Lyon,NA,NA,NA
235,Europe,France,Auvergne-Rhone-Alpes,Clermond-Ferrand,NA,NA,NA
236,Europe,Spain,Castilla y Leon,NA,NA,NA,NA
237,Europe,Spain,Madrid,NA,NA,NA,NA
238,Europe,Belgium,Li\u00e8ge,NA,NA,NA,NA
239,Europe,France,Auvergne-Rhone-Alpes,Bourg-en-Bresse,NA,NA,NA
240,Europe,Spain,Galicia,NA,NA,NA,NA
241,Europe,United Kingdom,England,Nottinghamhisre,NA,NA,NA
242,Europe,France,Auvergne-Rhone-Alpes,Pollionnay,NA,NA,NA
243,North America,USA,Oregon,NA,NA,NA,NA
244,Europe,Belgium,Liege,NA,NA,NA,NA
245,Oceania,New Zealand,Wellington,NA,NA,NA,NA
246,North America,USA,New York,New York City,NA,NA,NA
247,Europe,Hungary,Baranya,NA,NA,NA,NA
248,North America,USA,Oregon,Umatilla County,NA,NA,NA
249,North America,USA,Washington,Clark County,NA,NA,NA
250,North America,USA,Washington,Grant County,NA,NA,NA
251,Africa,South Africa,KwaZulu-Natal,NA,NA,NA,NA
252,Oceania,Australia,Queensland,Rockhampton,NA,NA,NA
253,Oceania,Australia,Queensland,Brisbane,NA,NA,NA
254,South America,Brazil,Amazonas,Manaus,NA,NA,NA
255,North America,USA,California,Santa Clara County,NA,NA,NA
256,Europe,Italy,Friuli Venezia Giulia,NA,NA,NA,NA
257,Europe,Belgium,Sint-Pieters-Woluwe,NA,NA,NA,NA
258,Europe,Belgium,Rixensart,NA,NA,NA,NA
259,Europe,Belgium,Vorst,NA,NA,NA,NA
260,North America,USA,California,San Mateo County,NA,NA,NA
261,North America,USA,California,Marin County,NA,NA,NA
262,Europe,Belgium,Dilbeek,NA,NA,NA,NA
263,Europe,Belgium,Kasterlee,NA,NA,NA,NA
264,Asia,Pakistan,Gilgit,NA,NA,NA,NA
265,Europe,Belgium,Schoten,NA,NA,NA,NA
266,North America,USA,California,Sacramento County,NA,NA,NA
267,Europe,France,Auvergne-Rhone-Alpes,Macon,NA,NA,NA
268,North America,USA,California,San Joaquin County,NA,NA,NA
269,Oceania,New Zealand,Otago,NA,NA,NA,NA
270,Europe,Turkey,NA,NA,NA,NA,NA
271,Asia,China,NanChang,NA,NA,NA,NA
272,Europe,Norway,Oslo,NA,NA,NA,NA
273,Europe,Italy,The Marches,NA,NA,NA,NA
274,South America,Ecuador,Quito,NA,NA,NA,NA
275,Europe,Iceland,Reykjavik,NA,NA,NA,NA
276,Europe,Slovakia,Kostoliste,NA,NA,NA,NA
277,Europe,Slovakia,Kosice,NA,NA,NA,NA
278,Europe,Slovakia,Bratislava,NA,NA,NA,NA
279,Europe,Slovakia,Martin,NA,NA,NA,NA
280,South America,Colombia,Antioquia,NA,NA,NA,NA
281,South America,Brazil,Goias,NA,NA,NA,NA
282,Asia,Malaysia,Kuala Lumpur,NA,NA,NA,NA
283,South America,Brazil,Rio Grande do Sul,NA,NA,NA,NA
284,South America,Brazil,Minas Gerais,NA,NA,NA,NA
285,Europe,Germany,Bavaria,NA,NA,NA,NA
286,North America,USA,New York,Manhattan,NA,NA,NA
287,North America,USA,Wisconsin,La Crosse County,NA,NA,NA
288,North America,USA,Wisconsin,Monroe County,NA,NA,NA
289,Europe,Spain,Catalunya,NA,NA,NA,NA
290,Europe,France,Bretagne,Brest,NA,NA,NA
291,Africa,Senegal,Dakar,NA,NA,NA,NA
292,Europe,Spain,Andalusia,NA,NA,NA,NA
293,Europe,Spain,Castilla-La Mancha,NA,NA,NA,NA
294,Africa,Algeria,Boufarik,NA,NA,NA,NA
295,Europe,Spain,Basque Country,NA,NA,NA,NA
296,Europe,France,Centre-Val de Loire,Tours,NA,NA,NA
297,South America,Colombia,Bogota,NA,NA,NA,NA
298,Africa,Algeria,Blida,NA,NA,NA,NA
299,Europe,France,Hauts-de-France,Crouy en Thelle,NA,NA,NA
300,Africa,Senegal,Diourbel,Touba,NA,NA,NA
301,Africa,Senegal,Thies,Mbour,NA,NA,NA
302,Europe,Italy,Abruzzo,NA,NA,NA,NA
303,Europe,France,\u00cele-de-France,Meudon la For\u00eat,NA,NA,NA
304,Europe,France,\u00cele-de-France,Vanves,NA,NA,NA
305,Europe,Switzerland,Basel-Stadt,Basel,NA,NA,NA
306,Europe,Belgium,Antwerp,NA,NA,NA,NA
307,Europe,Ireland,Tipperary,NA,NA,NA,NA
308,Europe,Ireland,Louth,NA,NA,NA,NA
309,Europe,Ireland,Wicklow,NA,NA,NA,NA
310,Europe,Spain,Catalunya,Barcelona,Badalona,NA,NA
311,Europe,France,Auvergne-Rhone-Alpes,Privas,NA,NA,NA
312,Europe,France,Auvergne-Rhone-Alpes,Venissieux,NA,NA,NA
313,Europe,France,Auvergne-Rhone-Alpes,Saint-Priest,NA,NA,NA
314,Europe,France,Auvergne-Rhone-Alpes,Vienne,NA,NA,NA
315,Europe,Greece,Athens,NA,NA,NA,NA
316,Europe,Switzerland,NA,NA,NA,NA,NA
317,Europe,United Kingdom,England,Derbyshire,NA,NA,NA
318,Europe,Belgium,Eupen,NA,NA,NA,NA
319,Europe,Belgium,Hoegaarden,NA,NA,NA,NA
320,Europe,Belgium,Zolder,NA,NA,NA,NA
321,Europe,Belgium,Houthalen-Helchteren,NA,NA,NA,NA
322,Europe,Belgium,Kalmthout,NA,NA,NA,NA
323,Europe,Belgium,Chaineux,NA,NA,NA,NA
324,Europe,Belgium,Beersel,NA,NA,NA,NA
325,Europe,Belgium,Komen,NA,NA,NA,NA
326,Europe,Belgium,Nevele,NA,NA,NA,NA
327,Europe,Belgium,Ganshoren,NA,NA,NA,NA
328,Europe,Belgium,Deinze,NA,NA,NA,NA
329,Europe,Belgium,Merelbeke,NA,NA,NA,NA
330,Europe,Belgium,Oevel,NA,NA,NA,NA
331,Europe,Belgium,Asse,NA,NA,NA,NA
332,Europe,Belgium,Kaulile,NA,NA,NA,NA
333,Europe,Belgium,Ellezelles,NA,NA,NA,NA
334,Europe,Belgium,Zonhoven,NA,NA,NA,NA
335,Europe,Belgium,Gierle,NA,NA,NA,NA
336,North America,Canada,New Brunswick,NA,NA,NA,NA
337,North America,Canada,Manitoba,NA,NA,NA,NA
338,North America,Canada,Nova Scotia,NA,NA,NA,NA
339,Europe,Spain,Catalunya,Barcelona,NA,NA,NA
340,North America,USA,Virginia,NA,NA,NA,NA
341,Oceania,Australia,Queensland,Sunshine Coast,NA,NA,NA
342,Asia,Israel,Ramat Gan,NA,NA,NA,NA
343,Europe,Spain,La Rioja,NA,NA,NA,NA
344,Europe,Spain,Canary Islands,NA,NA,NA,NA
345,Europe,Belgium,Ghent,NA,NA,NA,NA
346,North America,USA,Rhode Island,NA,NA,NA,NA
347,North America,USA,Florida,NA,NA,NA,NA
348,North America,USA,Georgia,NA,NA,NA,NA
349,Asia,Japan,Kochi,NA,NA,NA,NA
350,Asia,Japan,Ishikawa,NA,NA,NA,NA
351,Asia,Japan,Chiba,NA,NA,NA,NA
352,Asia,Pakistan,KPK,NA,NA,NA,NA
353,Europe,Portugal,Lisbon,NA,NA,NA,NA
354,Oceania,Australia,Victoria,NA,NA,NA,NA
355,Oceania,Australia,Northern Territory,NA,NA,NA,NA
356,Europe,Austria,Vienna,NA,NA,NA,NA
357,Europe,Austria,NA,NA,NA,NA,NA
358,Europe,Latvia,Riga,NA,NA,NA,NA
359,Europe,Belarus,NA,NA,NA,NA,NA
360,North America,USA,New York,Brooklyn,NA,NA,NA
361,North America,USA,Minnesota,Winona County,NA,NA,NA
362,Europe,Estonia,NA,NA,NA,NA,NA
363,Asia,China,Anhui,Fuyang,NA,NA,NA
364,Europe,France,\u00cele-de-France,Orsay,NA,NA,NA
365,Europe,France,Grand Est,Woippy,NA,NA,NA
366,Europe,France,\u00cele-de-France,Gennevilliers,NA,NA,NA
367,Europe,France,Grand Est,Spicheren,NA,NA,NA
368,Europe,France,\u00cele-de-France,Saint-Thibault-des-Vignes,NA,NA,NA
369,Europe,France,\u00cele-de-France,Asni\u00e8res-sur-Seine,NA,NA,NA
370,Europe,France,\u00cele-de-France,Noisy le Roi,NA,NA,NA
371,Africa,Senegal,Saint-Louis,NA,NA,NA,NA
372,Africa,Senegal,Thies,NA,NA,NA,NA
373,Europe,France,\u00cele-de-France,Juvisy-sur-Orge,NA,NA,NA
374,Europe,Norway,NA,NA,NA,NA,NA
375,Asia,Taiwan,NA,NA,NA,NA,NA
376,Oceania,Australia,Western Australia,Perth,NA,NA,NA
377,North America,USA,New Hampshire,NA,NA,NA,NA
378,North America,USA,Arizona,NA,NA,NA,NA
379,Europe,Belgium,Brussel,NA,NA,NA,NA
380,Europe,Belgium,Montigny-le-Tilleul,NA,NA,NA,NA
381,Europe,Belgium,Braine-le-Chateau,NA,NA,NA,NA
382,Europe,Belgium,Lubbeek,NA,NA,NA,NA
383,Europe,Belgium,Hasselt,NA,NA,NA,NA
384,Europe,Belgium,Dendermonde,NA,NA,NA,NA
385,Europe,Belgium,Bonheiden,NA,NA,NA,NA
386,Europe,Belgium,Heverlee,NA,NA,NA,NA
387,Europe,Belgium,Elsene,NA,NA,NA,NA
388,Europe,Belgium,Poppel,NA,NA,NA,NA
389,Europe,Belgium,Riemst,NA,NA,NA,NA
390,Europe,Belgium,Neerpelt,NA,NA,NA,NA
391,Europe,Belgium,Bree,NA,NA,NA,NA
392,Europe,Belgium,Berloz,NA,NA,NA,NA
393,Europe,Belgium,Herve,NA,NA,NA,NA
394,Europe,Belgium,Limbourg,NA,NA,NA,NA
395,Europe,Belgium,Havelange,NA,NA,NA,NA
396,Europe,Belgium,Havre,NA,NA,NA,NA
397,Europe,Belgium,Haulchin,NA,NA,NA,NA
398,Europe,Belgium,Stekene,NA,NA,NA,NA
399,Europe,Belgium,Waasmunster,NA,NA,NA,NA
400,Europe,Belgium,Knokke-Heist,NA,NA,NA,NA
401,Europe,Belgium,Lanaken,NA,NA,NA,NA
402,Europe,Belgium,Wevelgem,NA,NA,NA,NA
403,Europe,Slovenia,NA,NA,NA,NA,NA
404,Europe,Belgium,Yernee-fraineux,NA,NA,NA,NA
405,Europe,Belgium,Winksele,NA,NA,NA,NA
406,Europe,Belgium,Alken,NA,NA,NA,NA
407,Europe,Belgium,Herstal,NA,NA,NA,NA
408,Europe,Belgium,Seraing,NA,NA,NA,NA
409,Europe,Belgium,Bierset,NA,NA,NA,NA
410,Europe,Belgium,Soumagne,NA,NA,NA,NA
411,Europe,Belgium,Henri-chapelle,NA,NA,NA,NA
412,Europe,Belgium,Theux,NA,NA,NA,NA
413,Europe,Belgium,Temploux,NA,NA,NA,NA
414,Europe,Belgium,Andenne,NA,NA,NA,NA
415,Europe,Belgium,Couvin,NA,NA,NA,NA
416,Europe,Belgium,Courcelles,NA,NA,NA,NA
417,Europe,Belgium,Geluwe,NA,NA,NA,NA
418,Europe,Belgium,Gent,NA,NA,NA,NA
419,Europe,Belgium,Ronse,NA,NA,NA,NA
420,Europe,Belgium,Sint-Genesius-Rode,NA,NA,NA,NA
421,Europe,Belgium,Oostrozebeke,NA,NA,NA,NA
422,Europe,Belgium,Dalhem,NA,NA,NA,NA
423,Europe,Belgium,Arbre,NA,NA,NA,NA
424,Europe,Belgium,Waterloo,NA,NA,NA,NA
425,Europe,Belgium,Sint-Gillis-Waas,NA,NA,NA,NA
426,Europe,Belgium,Sint-Agatha-Berchem,NA,NA,NA,NA
427,Europe,Belgium,Mons,NA,NA,NA,NA
428,South America,Argentina,NA,NA,NA,NA,NA
429,Europe,Belgium,Ukkel,NA,NA,NA,NA
430,Europe,Belgium,Saive,NA,NA,NA,NA
431,Europe,Belgium,Charleroi,NA,NA,NA,NA
432,Europe,Belgium,Wandre,NA,NA,NA,NA
433,Europe,Belgium,Watermaal-Bosvoorde,NA,NA,NA,NA
434,Oceania,Australia,Western Australia,NA,NA,NA,NA
435,North America,USA,Alaska,Interior,NA,NA,NA
436,North America,USA,Alaska,Anchorage-Mat Su,NA,NA,NA
437,North America,USA,Alaska,Southeast,NA,NA,NA
438,Europe,Belgium,Villerot,NA,NA,NA,NA
439,North America,USA,New York,Staten Island,NA,NA,NA
440,North America,USA,New York,Queens,NA,NA,NA
441,North America,USA,New York,Bronx,NA,NA,NA
442,Europe,Belgium,Honnelles,NA,NA,NA,NA
443,Europe,Belgium,Doornik,NA,NA,NA,NA
444,Europe,Belgium,Quevy,NA,NA,NA,NA
445,Europe,Italy,Abruzzo,Teramo,NA,NA,NA
446,Europe,Belgium,Anderlecht,NA,NA,NA,NA
447,Europe,Belgium,Oudergem,NA,NA,NA,NA
448,Europe,Belgium,Boussu,NA,NA,NA,NA
449,Europe,Belgium,La Louviere,NA,NA,NA,NA
450,Europe,Belgium,Namur,NA,NA,NA,NA
451,Europe,Italy,Abruzzo,L'Aquila,Castel di Sangro,NA,NA
452,Europe,Belgium,Etterbeek,NA,NA,NA,NA
453,Europe,Italy,Abruzzo,L'Aquila,NA,NA,NA
454,Europe,Belgium,Hemiksem,NA,NA,NA,NA
455,Europe,Belgium,Couillet,NA,NA,NA,NA
456,Europe,Belgium,Colfontaine,NA,NA,NA,NA
457,Europe,Belgium,Tubize,NA,NA,NA,NA
458,Europe,Belgium,Lasne,NA,NA,NA,NA
459,Europe,Belgium,Tervuren,NA,NA,NA,NA
460,Europe,Belgium,Zinnik,NA,NA,NA,NA
461,Europe,Belgium,Beringen,NA,NA,NA,NA
462,Europe,Belgium,Frameries,NA,NA,NA,NA
463,Europe,Belgium,Saisinne,NA,NA,NA,NA
464,Europe,Belgium,Bassilly,NA,NA,NA,NA
465,Europe,Belgium,Vilvoorde,NA,NA,NA,NA
466,Europe,Belgium,Quaregnon,NA,NA,NA,NA
467,Europe,Belgium,Linter,NA,NA,NA,NA
468,Europe,Belgium,Bierbeek,NA,NA,NA,NA
