"Country","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","World Bank economic status","COVID-19 diagnostic testing capacity","Test recommendation","SARS-CoV-2 sequencing capacity","NGS facility access","Archetype"
"Belgium","February 26, 2022","12.5 %","5.27 per 1,000 persons","2.92 %","699.8 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Belize","February 24, 2022","10.7 %","2.86 per 1,000 persons","1.15 %","126 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Benin","January 25, 2022","1.6 %","0.16 per 1,000 persons","2.82 %","4.8 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Bermuda","February 25, 2022","No cases reported","27.41 per 1,000 persons","0.82 %","143.3 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Bhutan","February 24, 2022","0.9 %","4.16 per 1,000 persons","0 %","0 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Bolivia","January 02, 2022","15.5 %","0.65 per 1,000 persons","0.02 %","1 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Bosnia and Herzegovina","February 28, 2022","31.7 %","0.63 per 1,000 persons","0.54 %","39.5 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Botswana","February 18, 2022","16.9 %","1.64 per 1,000 persons","1.2 %","118.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Brazil","February 17, 2022","40.3 %","0.58 per 1,000 persons","0.58 %","48.8 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"British Virgin Islands","No tests reported","Insufficient data","Insufficient data","2.8 %","545.6 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Brunei","December 14, 2021","2.7 %","4.46 per 1,000 persons","1.15 %","165.3 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Bulgaria","January 02, 2022","8.7 %","2.7 per 1,000 persons","1.48 %","180.7 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Burkina Faso","February 21, 2022","5.4 %","0.02 per 1,000 persons","1.13 %","0.5 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Burundi","February 26, 2022","2.8 %","0.3 per 1,000 persons","0.18 %","0.5 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Cambodia","February 28, 2022","5.4 %","0.39 per 1,000 persons","1.96 %","15 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Cameroon","February 24, 2022","5.6 %","0.16 per 1,000 persons","0.58 %","1.8 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Canada","February 28, 2022","7.2 %","2.45 per 1,000 persons","8.25 %","525.9 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Cape Verde","February 28, 2022","12.2 %","1.64 per 1,000 persons","0.48 %","34.9 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Cayman Islands","No tests reported","Insufficient data","Insufficient data","0.4 %","112.8 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Central African Republic","February 08, 2022","19.2 %","0.03 per 1,000 persons","0.44 %","0.8 per 100k persons","Low income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Chad","February 09, 2022","3.1 %","0.02 per 1,000 persons","0.98 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Chile","February 02, 2022","6.8 %","3.2 per 1,000 persons","0.87 %","101.4 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"China","June 24, 2020","Insufficient data","Insufficient data","2.59 %","0 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Colombia","February 27, 2022","17.5 %","1.18 per 1,000 persons","0.35 %","26.2 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Comoros","November 27, 2020","Insufficient data","Insufficient data","0.25 %","1.2 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Costa Rica","February 23, 2022","19.5 %","1.64 per 1,000 persons","0.44 %","51.6 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Croatia","February 28, 2022","25.5 %","2.12 per 1,000 persons","3.03 %","602.6 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Cuba","February 23, 2022","9.5 %","2.59 per 1,000 persons","0 %","0 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Curaçao","No tests reported","Insufficient data","Insufficient data","3.55 %","737.9 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Cyprus","July 11, 2021","0.7 %","41.5 per 1,000 persons","0 %","0.1 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Czech Republic","February 27, 2022","5 %","12.09 per 1,000 persons","1.25 %","272.1 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Democratic Republic of the Congo","February 28, 2022","7.3 %","0.03 per 1,000 persons","0.71 %","0.5 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Denmark","December 30, 2021","0.6 %","50.37 per 1,000 persons","12.58 %","5524.6 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Djibouti","February 28, 2022","5.6 %","0.47 per 1,000 persons","4.96 %","46.9 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Dominica","December 28, 2021","5.8 %","5.12 per 1,000 persons","0.22 %","33.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Dominican Republic","September 23, 2021","14.1 %","0.37 per 1,000 persons","0.3 %","9.2 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"East Timor","No tests reported","Insufficient data","Insufficient data","1.39 %","23.3 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Ecuador","February 01, 2022","31.1 %","0.25 per 1,000 persons","0.74 %","22.3 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Egypt","February 25, 2022","8 %","0.1 per 1,000 persons","0.29 %","0.8 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"El Salvador","February 14, 2022","9.1 %","0.41 per 1,000 persons","0.38 %","5.6 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Equatorial Guinea","February 24, 2022","5.2 %","0.37 per 1,000 persons","0.19 %","1.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Eritrea","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons","Low income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Estonia","February 28, 2022","19.4 %","4.47 per 1,000 persons","2 %","648.6 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Eswatini","February 28, 2022","15.4 %","0.8 per 1,000 persons","0.92 %","40.8 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Ethiopia","February 28, 2022","13.2 %","0.06 per 1,000 persons","0.16 %","0.4 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Faroe Islands","February 27, 2022","No cases reported","30.56 per 1,000 persons","0.01 %","6.1 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Fiji","December 29, 2021","12 %","1.61 per 1,000 persons","0.81 %","57.1 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Finland","September 15, 2021","2.2 %","3.24 per 1,000 persons","3.66 %","382.6 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"France","February 28, 2022","10 %","8.14 per 1,000 persons","0.96 %","274.3 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"French Polynesia","September 07, 2020","Insufficient data","Insufficient data","0.07 %","12.4 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Gabon","February 24, 2022","3.2 %","1.29 per 1,000 persons","1 %","14.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Georgia","June 16, 2021","7.8 %","2.51 per 1,000 persons","0.11 %","37 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Germany","February 22, 2022","18 %","2.14 per 1,000 persons","3.18 %","472.4 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Ghana","February 24, 2022","5.4 %","0.13 per 1,000 persons","2.89 %","6.9 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Gibraltar","No tests reported","Insufficient data","Insufficient data","19.6 %","6509.2 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Greece","February 28, 2022","3.7 %","15.7 per 1,000 persons","0.53 %","114.1 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Greenland","August 25, 2021","No cases reported","3.61 per 1,000 persons","0 %","0 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Grenada","January 23, 2022","11.3 %","2.64 per 1,000 persons","0.38 %","46 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Guam","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Guatemala","February 16, 2022","19.9 %","0.45 per 1,000 persons","0.2 %","6.6 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Guinea","February 11, 2022","7.4 %","0.06 per 1,000 persons","1.49 %","2.3 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Guinea-Bissau","February 28, 2022","6.6 %","0.1 per 1,000 persons","0 %","0 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Guyana","December 28, 2021","8.7 %","1.47 per 1,000 persons","0.1 %","6.8 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Haiti","No tests reported","Insufficient data","Insufficient data","0.36 %","0.6 per 100k persons","Low income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Honduras","December 22, 2021","31.1 %","0.23 per 1,000 persons","0.08 %","2 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Hong Kong SAR, China","February 08, 2022","No cases reported","10.47 per 1,000 persons","0.83 %","21.4 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Hungary","February 28, 2022","19 %","2.03 per 1,000 persons","0.01 %","1.2 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Iceland","February 08, 2022","6.1 %","10.2 per 1,000 persons","3.53 %","1184.4 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"India","February 28, 2022","5.8 %","1.09 per 1,000 persons","0.34 %","7.8 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Indonesia","February 28, 2022","5.4 %","0.76 per 1,000 persons","0.42 %","6.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Iran","February 24, 2022","14.9 %","1.19 per 1,000 persons","0.01 %","0.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Iraq","February 24, 2022","14.4 %","0.76 per 1,000 persons","0.01 %","0.5 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Ireland","February 28, 2022","13.9 %","4.36 per 1,000 persons","4.56 %","989.1 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Isle of Man","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Israel","January 23, 2022","4.5 %","12.02 per 1,000 persons","1.47 %","451.9 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Italy","February 28, 2022","6.7 %","6.67 per 1,000 persons","0.86 %","140.8 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Ivory Coast","February 28, 2022","4.9 %","0.1 per 1,000 persons","0.76 %","1.4 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Jamaica","December 26, 2021","14.2 %","0.55 per 1,000 persons","0.54 %","18.9 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Japan","February 28, 2022","15.5 %","0.61 per 1,000 persons","3.76 %","136.3 per 100k persons","High income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Jordan","December 27, 2021","7.6 %","2.86 per 1,000 persons","0.06 %","6.8 per 100k persons","Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Kazakhstan","May 28, 2021","4.3 %","2.38 per 1,000 persons","0.03 %","2.1 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Kenya","February 28, 2022","10.5 %","0.11 per 1,000 persons","1.99 %","7.8 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Kiribati","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data","Lower middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Kosovo","February 28, 2022","No cases reported","Insufficient data","Insufficient data","Insufficient data","Upper middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Kuwait","February 24, 2022","7.4 %","3.72 per 1,000 persons","0.07 %","7.1 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Kyrgyzstan","June 23, 2021","1.3 %","3.09 per 1,000 persons","0.09 %","1.5 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Laos","July 06, 2021","1.2 %","0.2 per 1,000 persons","0 %","0 per 100k persons","Lower middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Latvia","January 24, 2022","5.8 %","7.13 per 1,000 persons","1.99 %","605.4 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Lebanon","June 23, 2021","10.1 %","2.19 per 1,000 persons","0.09 %","8.7 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Lesotho","February 26, 2022","6.6 %","0.43 per 1,000 persons","0.02 %","0.2 per 100k persons","Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Liberia","September 26, 2021","5.8 %","0.06 per 1,000 persons","1.43 %","1.5 per 100k persons","Low income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Libya","February 28, 2022","21.2 %","0.68 per 1,000 persons","0 %","0.1 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Liechtenstein","No tests reported","Insufficient data","Insufficient data","6.31 %","1542.3 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Lithuania","January 26, 2022","8.2 %","5.84 per 1,000 persons","4.32 %","1130.6 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Luxembourg","February 28, 2022","6.4 %","8.61 per 1,000 persons","15.83 %","3194 per 100k persons","High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Macao SAR, China","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons","High income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Madagascar","February 26, 2022","15.7 %","0.03 per 1,000 persons","0.67 %","1 per 100k persons","Low income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Malawi","February 28, 2022","15.2 %","0.05 per 1,000 persons","1.05 %","2.9 per 100k persons","Low income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Malaysia","June 16, 2021","5.3 %","2 per 1,000 persons","0.27 %","26.1 per 100k persons","Upper middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
